Iteration	Posterior	Likelihood	Prior	birth	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]
0	-23844	-23744.9	-99.106	0.0375251	0.0696361	0.00946877	0.349096	0.17683	0.143465	0.251504	0.316428	0.315256	0.220567	0.147749
100	-15413.8	-15314.9	-98.9403	0.0375251	0.176159	0.283143	0.0553554	0.0216799	0.454283	0.00937986	0.2417	0.277514	0.140297	0.340489
200	-15409.9	-15311	-98.9352	0.0375251	0.175338	0.243273	0.0512778	0.0240113	0.498275	0.00782512	0.247347	0.259373	0.152873	0.340407
300	-15416.9	-15318	-98.9322	0.0375251	0.202111	0.246834	0.0449606	0.0260873	0.47573	0.00427716	0.253648	0.249352	0.151148	0.345851
400	-15406.7	-15307.8	-98.9334	0.0375251	0.174771	0.272238	0.0507621	0.0200664	0.47193	0.0102317	0.23988	0.246433	0.158393	0.355294
500	-15403.9	-15304.9	-98.9334	0.0375251	0.189108	0.255565	0.0480017	0.0227114	0.474083	0.0105312	0.242305	0.248568	0.164476	0.344651
600	-15406.5	-15307.6	-98.9339	0.0375251	0.188319	0.273693	0.0518569	0.0218904	0.45553	0.00871022	0.249666	0.251645	0.150057	0.348632
700	-15412.8	-15313.9	-98.9378	0.0375251	0.182686	0.293073	0.0447858	0.0168208	0.450507	0.0121278	0.235475	0.265886	0.146823	0.351816
800	-15412	-15313.1	-98.9334	0.0375251	0.211687	0.232824	0.0433024	0.0197648	0.486045	0.00637604	0.241651	0.24327	0.159701	0.355379
900	-15408.4	-15309.4	-98.936	0.0375251	0.176832	0.268842	0.0464596	0.0259	0.469827	0.0121396	0.248023	0.260876	0.147114	0.343986
1000	-15408.3	-15309.3	-98.9364	0.0375251	0.198189	0.243509	0.0445451	0.0238224	0.479741	0.0101922	0.243543	0.249282	0.150005	0.35717
1100	-15404	-15305	-98.9359	0.0375251	0.185412	0.263418	0.0461231	0.022949	0.47505	0.00704779	0.251046	0.251097	0.14384	0.354017
1200	-15405.6	-15306.6	-98.9304	0.0375251	0.19089	0.259317	0.043072	0.0197733	0.481081	0.00586673	0.246367	0.247739	0.160004	0.345889
1300	-15409.1	-15310.1	-98.9308	0.0375251	0.202563	0.246328	0.0485384	0.0208819	0.47301	0.00867852	0.250281	0.241235	0.152235	0.356249
1400	-15381.4	-15282.5	-98.9326	0.0375251	0.192151	0.258944	0.0528852	0.0206467	0.465606	0.00976815	0.248173	0.26355	0.144278	0.343999
1500	-15383.5	-15284.6	-98.9345	0.0375251	0.193294	0.245895	0.0537038	0.0198137	0.476322	0.0109716	0.253356	0.249355	0.153464	0.343825
1600	-15386.5	-15287.6	-98.9346	0.0375251	0.177715	0.268076	0.0558502	0.0255028	0.462124	0.0107324	0.248025	0.258516	0.1543	0.339159
1700	-15394.2	-15295.3	-98.9409	0.0375251	0.179538	0.269764	0.0550113	0.0245901	0.460689	0.0104072	0.246779	0.269213	0.134796	0.349211
1800	-15390.6	-15291.7	-98.9358	0.0375251	0.187556	0.275278	0.0419858	0.0265217	0.461111	0.00754736	0.239985	0.260383	0.155672	0.34396
1900	-15385.7	-15286.8	-98.9343	0.0375251	0.184072	0.243362	0.0569616	0.0190081	0.485054	0.0115422	0.240444	0.260817	0.157227	0.341512
2000	-15386.6	-15287.7	-98.9348	0.0375251	0.18555	0.279723	0.0542438	0.0182593	0.451791	0.0104329	0.242739	0.256863	0.160067	0.340331
2100	-15389.5	-15290.6	-98.9351	0.0375251	0.178005	0.253447	0.0487398	0.0304178	0.478456	0.0109345	0.253621	0.261971	0.143081	0.341327
2200	-15393	-15294.1	-98.9389	0.0375251	0.189452	0.258049	0.0645479	0.0233825	0.454742	0.00982702	0.242826	0.276164	0.142357	0.338652
2300	-15390.1	-15291.2	-98.9336	0.0375251	0.178998	0.303737	0.0528559	0.0217676	0.438953	0.00368901	0.24661	0.25293	0.155926	0.344533
2400	-15384.5	-15285.5	-98.9357	0.0375251	0.189451	0.242912	0.0546132	0.0253426	0.473697	0.013985	0.249268	0.267634	0.145498	0.3376
2500	-15392.2	-15293.3	-98.9344	0.0375251	0.184459	0.299205	0.0530769	0.0176016	0.43703	0.00862715	0.24668	0.26863	0.135592	0.349097
2600	-15384.5	-15285.5	-98.9318	0.0375251	0.189598	0.286256	0.0469233	0.0190551	0.441709	0.0164586	0.245615	0.259578	0.143763	0.351045
2700	-15382.7	-15283.8	-98.9366	0.0375251	0.173908	0.253048	0.0570554	0.0245362	0.485041	0.00641103	0.244332	0.264568	0.155421	0.335679
2800	-15383.4	-15284.5	-98.9338	0.0375251	0.164448	0.285953	0.0526302	0.0234166	0.459625	0.0139274	0.243727	0.265068	0.146013	0.345191
2900	-15384.8	-15285.8	-98.9323	0.0375251	0.180586	0.255555	0.0555578	0.0181093	0.482243	0.00794935	0.251536	0.253973	0.153673	0.340817
3000	-15389.1	-15290.1	-98.9375	0.0375251	0.186425	0.272595	0.0489965	0.0207301	0.461023	0.0102302	0.24452	0.268089	0.137859	0.349531
3100	-15385.9	-15286.9	-98.9387	0.0375251	0.181698	0.275219	0.0564264	0.0207321	0.458223	0.00770236	0.239309	0.276348	0.144734	0.339609
3200	-15384.3	-15285.3	-98.9358	0.0375251	0.190193	0.281885	0.0525244	0.0226451	0.437644	0.0151095	0.244952	0.272014	0.13873	0.344305
3300	-15392.7	-15293.7	-98.9388	0.0375251	0.2009	0.275373	0.0474395	0.0257815	0.439884	0.0106214	0.235858	0.264384	0.142435	0.357323
3400	-15383.6	-15284.6	-98.9361	0.0375251	0.169681	0.27215	0.0581041	0.0206996	0.467335	0.0120305	0.245186	0.262824	0.145572	0.346418
3500	-15390.6	-15291.7	-98.932	0.0375251	0.181973	0.286126	0.057479	0.0178468	0.444483	0.0120914	0.236331	0.272755	0.139648	0.351266
3600	-15383.3	-15284.4	-98.9348	0.0375251	0.193337	0.265059	0.0540566	0.0239453	0.451926	0.0116755	0.240463	0.262579	0.136871	0.360087
3700	-15387.9	-15289	-98.9327	0.0375251	0.202125	0.271632	0.0500525	0.02162	0.445895	0.00867539	0.225695	0.26012	0.152619	0.361566
3800	-15391.8	-15292.8	-98.937	0.0375251	0.183562	0.281489	0.0547156	0.0197438	0.455127	0.00536263	0.239459	0.273413	0.138903	0.348225
3900	-15383.7	-15284.8	-98.9382	0.0375251	0.178378	0.25741	0.0527843	0.0275009	0.471758	0.0121684	0.249814	0.266389	0.140226	0.343571
4000	-15386.4	-15287.5	-98.934	0.0375251	0.192445	0.26354	0.0514835	0.0341846	0.450818	0.00752932	0.251765	0.252368	0.146726	0.349141
4100	-15393.9	-15294.9	-98.9397	0.0375251	0.179394	0.268309	0.0500123	0.0244876	0.468076	0.0097207	0.23965	0.25316	0.151923	0.355267
4200	-15380.6	-15281.7	-98.9355	0.0375251	0.171817	0.28438	0.055433	0.021067	0.460363	0.00693967	0.245378	0.264805	0.147901	0.341916
4300	-15387	-15288.1	-98.9359	0.0375251	0.18355	0.249418	0.0466978	0.0200525	0.492568	0.00771402	0.25175	0.258594	0.14837	0.341285
4400	-15390.9	-15292	-98.9363	0.0375251	0.182669	0.254961	0.052088	0.0239874	0.473272	0.0130233	0.242638	0.25537	0.154584	0.347407
4500	-15384.4	-15285.4	-98.9343	0.0375251	0.189731	0.238409	0.0522592	0.0229449	0.488274	0.00838216	0.255851	0.245218	0.156234	0.342696
4600	-15385.3	-15286.4	-98.9356	0.0375251	0.183483	0.261167	0.0526545	0.0177922	0.471184	0.0137193	0.254051	0.2616	0.151347	0.333002
4700	-15386.3	-15287.3	-98.9316	0.0375251	0.197289	0.256678	0.0444946	0.0200416	0.472349	0.00914717	0.249717	0.25038	0.143674	0.356228
4800	-15388.1	-15289.1	-98.9394	0.0375251	0.179371	0.262665	0.0567366	0.0210667	0.470488	0.00967228	0.237683	0.273354	0.156865	0.332098
4900	-15386.1	-15287.1	-98.935	0.0375251	0.189743	0.276859	0.0514724	0.0285393	0.446598	0.00678785	0.244706	0.25856	0.146351	0.350383
5000	-15390.4	-15291.5	-98.9346	0.0375251	0.164568	0.281675	0.0633314	0.0225161	0.453787	0.0141227	0.250669	0.270362	0.139299	0.33967
5100	-15390.9	-15292	-98.9343	0.0375251	0.183057	0.253742	0.0557197	0.0274045	0.465192	0.0148846	0.241462	0.265272	0.158163	0.335103
5200	-15392.4	-15293.4	-98.938	0.0375251	0.189918	0.273701	0.0461765	0.0252218	0.455541	0.0094417	0.238295	0.258342	0.145867	0.357496
5300	-15384.3	-15285.4	-98.9347	0.0375251	0.187475	0.27744	0.0466689	0.017421	0.457193	0.0138016	0.245096	0.265493	0.139903	0.349508
5400	-15397.1	-15298.2	-98.9372	0.0375251	0.182355	0.281392	0.0561343	0.010899	0.453626	0.0155944	0.237216	0.267402	0.149863	0.345519
